"cluster","metric","n_cells","mean","median","sd","q05","q25","q75","q95"
"C4","Gex_MitoPercent",253,0,0,0,0,0,0,0
"C5","Gex_MitoPercent",763,0,0,0,0,0,0,0
"C6","Gex_MitoPercent",464,0,0,0,0,0,0,0
"C7","Gex_MitoPercent",204,0,0,0,0,0,0,0
"C8","Gex_MitoPercent",413,0,0,0,0,0,0,0
"C9","Gex_MitoPercent",262,0,0,0,0,0,0,0
"C1","Gex_RiboPercent",1160,0,0,0,0,0,0,0
"C10","Gex_RiboPercent",407,0,0,0,0,0,0,0
"C11","Gex_RiboPercent",1274,0,0,0,0,0,0,0
"C12","Gex_RiboPercent",1337,0,0,0,0,0,0,0
"C13","Gex_RiboPercent",1704,0,0,0,0,0,0,0
"C14","Gex_RiboPercent",6259,0,0,0,0,0,0,0
"C15","Gex_RiboPercent",1132,0,0,0,0,0,0,0
"C16","Gex_RiboPercent",475,0,0,0,0,0,0,0
"C17","Gex_RiboPercent",437,0,0,0,0,0,0,0
"C18","Gex_RiboPercent",512,0,0,0,0,0,0,0
"C19","Gex_RiboPercent",4598,0,0,0,0,0,0,0
"C2","Gex_RiboPercent",1064,0,0,0,0,0,0,0
"C20","Gex_RiboPercent",3113,0,0,0,0,0,0,0
"C21","Gex_RiboPercent",1115,0,0,0,0,0,0,0
"C22","Gex_RiboPercent",1145,0,0,0,0,0,0,0
"C23","Gex_RiboPercent",1033,0,0,0,0,0,0,0
"C24","Gex_RiboPercent",1526,0,0,0,0,0,0,0
"C25","Gex_RiboPercent",766,0,0,0,0,0,0,0
"C3","Gex_RiboPercent",117,0,0,0,0,0,0,0
"C4","Gex_RiboPercent",253,0,0,0,0,0,0,0
"C5","Gex_RiboPercent",763,0,0,0,0,0,0,0
"C6","Gex_RiboPercent",464,0,0,0,0,0,0,0
"C7","Gex_RiboPercent",204,0,0,0,0,0,0,0
"C8","Gex_RiboPercent",413,0,0,0,0,0,0,0
"C9","Gex_RiboPercent",262,0,0,0,0,0,0,0
