"cluster","metric","n_cells","mean","median","sd","q05","q25","q75","q95"
"C4","NucleosomeRatio",1157,0.515845660055127,0.514493577355917,0.0511175181774884,0.436520001973068,0.482949701619778,0.544654714475432,0.598650730488701
"C5","NucleosomeRatio",5620,0.540682380640591,0.537303516412634,0.0554713245358872,0.456691601049869,0.503178623025418,0.575902750657405,0.636773531445909
"C6","NucleosomeRatio",5952,0.544715711283439,0.542391435401794,0.0545183578682008,0.460087018529952,0.508515344286005,0.578681807915046,0.637746394314015
"C7","NucleosomeRatio",1598,0.543330917147253,0.542202396000983,0.0518660720220628,0.465906109196926,0.509040690043278,0.574347155512058,0.627829556193828
"C8","NucleosomeRatio",1521,0.530137778341656,0.528592072667217,0.052542449185511,0.449578820697954,0.49422406277245,0.562193126022913,0.62137296532201
"C9","NucleosomeRatio",1854,0.547720075864418,0.545314936082602,0.0545352542008036,0.465605365652767,0.512541558385377,0.579132075401068,0.637976344140586
"C1","ReadsInTSS",181,1376.30939226519,1109,943.812571653554,237,732,1707,3146
"C10","ReadsInTSS",33,1230.75757575758,1233,602.970201912117,328.4,806,1470,2420
"C11","ReadsInTSS",1257,1465.42322991249,1140,1226.20665023387,231.4,544,1997,3803.2
"C12","ReadsInTSS",1848,912.772727272727,796,600.95190891638,181.05,433.75,1261,2096.95
"C13","ReadsInTSS",1792,853.7109375,729.5,567.831375844471,187,415.5,1165.25,1963.85
"C14","ReadsInTSS",1226,960.10603588907,833.5,653.34536431641,200.5,479,1288,2122.25
"C15","ReadsInTSS",1345,864.571747211896,755,553.776162532554,184,410,1194,1884
"C16","ReadsInTSS",113,1286.83185840708,808,1283.8466885459,171.6,426,1735,3876.8
"C17","ReadsInTSS",349,2288.86532951289,2160,1427.65897183386,297.2,1166,3282,4835.8
"C18","ReadsInTSS",718,1192.60584958217,1057.5,750.828765209401,215.85,670.5,1593,2669.3
"C19","ReadsInTSS",254,1432.12598425197,1090.5,1130.13619797017,202.65,696,1881.25,3815.1
"C2","ReadsInTSS",140,1182.88571428571,987,826.215982751582,236.55,585.5,1572.5,2723.7
"C20","ReadsInTSS",1227,1009.23716381418,907,610.539767330608,218.3,543,1380,2097.4
"C21","ReadsInTSS",255,1016.32941176471,939,612.24246499452,194.1,505,1415.5,2082.4
"C22","ReadsInTSS",421,1017.96437054632,952,576.629224903867,207,587,1368,2109
"C23","ReadsInTSS",389,973.745501285347,915,536.469635300596,227.2,550,1343,1957.8
"C3","ReadsInTSS",2497,1049.67801361634,920,703.361539165187,206,530,1412,2339.4
"C4","ReadsInTSS",1157,1169.87554019015,1096,688.423640692147,211.2,689,1564,2408.2
"C5","ReadsInTSS",5620,1340.12526690391,1015,1096.14713327394,211,499.75,1856.25,3602.3
"C6","ReadsInTSS",5952,923.39247311828,761.5,680.27905341831,181.55,399,1256,2249
"C7","ReadsInTSS",1598,2002.68147684606,1805,1306.17174089058,269.7,1013,2709.75,4430.45
"C8","ReadsInTSS",1521,841.330046022354,719,578.18535222217,177,394,1148,1901
"C9","ReadsInTSS",1854,1923.19147788565,1749.5,1237.07406806495,304.3,1009.25,2609.75,4143.75
"C1","ReadsInPromoter",181,6525.55801104972,5614,4210.84840794246,1137,3750,8214,14502
"C10","ReadsInPromoter",33,5575.33333333333,4997,2775.01304801737,1389.8,3622,7308,10595.4
"C11","ReadsInPromoter",1257,6635.1185361973,5315,5387.08604741706,1010,2527,9122,17077
"C12","ReadsInPromoter",1848,4110.59523809524,3586,2633.26386078135,842.45,1988.25,5690.5,9070.39999999999
"C13","ReadsInPromoter",1792,3791.18694196429,3287.5,2456.35143292203,855.55,1833.75,5202.5,8521.39999999999
"C14","ReadsInPromoter",1226,4210.70065252855,3637,2808.41701001733,900,2126.75,5624,9230.25
"C15","ReadsInPromoter",1345,3777.57397769517,3326,2362.18892523836,849.2,1812,5211,8160.4
"C16","ReadsInPromoter",113,5854.48672566372,3770,5565.75961815226,773.6,1940,7925,17313.4
