"config_id","cluster","n_cells","UMAP_1","UMAP_2"
"dims01_40_nn30_md04","C5",414,-7.60413156647633,-7.72100183794871
"dims01_40_nn30_md04","C6",256,-7.99627171233532,-7.01530558052353
"dims01_40_nn30_md04","C7",386,-7.5052608177128,-7.6529422227414
"dims01_40_nn30_md04","C8",113,-8.14992006631656,-4.14308315484369
"dims01_40_nn30_md04","C9",245,-9.75510727980847,-0.164630349814573
"dims01_30_nn15_md04","C1",1679,-7.22669163564325,2.20442824500393
"dims01_30_nn15_md04","C10",343,-1.06637333428955,-3.2352387728233
"dims01_30_nn15_md04","C11",726,-5.57659220382094,-6.47602095061028
"dims01_30_nn15_md04","C12",3417,6.00267700674342,1.64217675022808
"dims01_30_nn15_md04","C13",2305,5.04227628063424,1.91711560842595
"dims01_30_nn15_md04","C14",708,3.43867201200119,0.0644971959812331
"dims01_30_nn15_md04","C15",5609,4.57944972131042,1.07742718903777
"dims01_30_nn15_md04","C16",2776,2.73171941369631,1.10434987680073
"dims01_30_nn15_md04","C17",1362,-2.50331035624908,-3.81712388103085
"dims01_30_nn15_md04","C18",1357,-1.19335371313749,-0.0779645289607548
"dims01_30_nn15_md04","C19",529,0.229186486199313,-0.100390233981505
"dims01_30_nn15_md04","C2",1269,-10.3535935982265,3.64584090296156
"dims01_30_nn15_md04","C20",692,-1.24762323111666,1.02387557719525
"dims01_30_nn15_md04","C21",1679,-3.71524097088074,0.402353156158303
"dims01_30_nn15_md04","C3",1621,-9.8363777689657,3.29310228199284
"dims01_30_nn15_md04","C4",1376,-3.40302789654051,-8.04033607528248
"dims01_30_nn15_md04","C5",414,-3.86037090445479,-9.30857346732818
"dims01_30_nn15_md04","C6",256,-4.39050918341971,-8.7884232925882
"dims01_30_nn15_md04","C7",386,-3.93235828892762,-9.23854637567829
"dims01_30_nn15_md04","C8",113,-3.11969400087654,-6.0814258976844
"dims01_30_nn15_md04","C9",245,-3.76348453748359,-6.71601308481614
